qid_a,qid_b,embedding_cosine,lexical_cosine,same_strict_text,same_punctuation_text,same_accent_text,gold_overlap_count,gold_jaccard,question_a,question_b
114904,132026,0.9312841296195984,0.8140631914138794,0,0,0,1,1.0,Yêu cầu về kiến trúc đối với hệ thống công nghệ áp dụng vào việc hoàn thuế GTGT cho người nước ngoài tại Việt Nam?,Yêu cầu về kênh giao tiếp đối với hệ thống công nghệ áp dụng vào việc hoàn thuế GTGT cho người nước ngoài tại Việt Nam?
69582,378,0.9309254288673401,0.486036479473114,0,0,0,1,1.0,Hợp đồng lao động được quy định như thế nào?,Một hợp đồng lao động thì cần phải có các nội dung nào trong hợp đồng?
115950,53334,0.9307945966720581,0.431730717420578,0,0,0,1,1.0,Hội Thống kê Việt Nam có tư cách pháp nhân không?,Hội Thống kê Việt Nam hoạt đông nhằm mục đích gì?
52262,17134,0.9304574131965637,0.6211053729057312,0,0,0,1,0.3333333333333333,Hiện nay đối tượng nào được hưởng phụ cấp công vụ?,Đối tượng được hưởng phụ cấp công vụ bao gồm những ai?
167684,91194,0.9292019605636597,0.7355217337608337,0,0,0,1,1.0,Thẩm quyền cấp Giấy xác nhận tình trạng hôn nhân theo quy định pháp luật,Trình tự cấp Giấy xác nhận tình trạng hôn nhân như thế nào?
107266,158958,0.9271557927131653,0.7679876089096069,0,0,0,1,1.0,Phân công trách nhiệm tổ chức lấy ý kiến về dự thảo Luật Đất đai (sửa đổi) như thế nào?,Mục đích và yêu cầu của việc tổ chức lấy ý kiến về dự thảo Luật Đất đai (sửa đổi) là gì?
50688,144306,0.9264647364616394,0.9475841522216797,0,0,0,1,1.0,Mẫu đơn đề nghị giải quyết chuyển quyền sử dụng đất liền kề với nhà ở cũ thuộc sở hữu nhà nước được quy định thế nào?,Mẫu Đơn đề nghị giải quyết chuyển quyền sử dụng đất liền kề nhà ở cũ thuộc Sở hữu nhà nước được thực hiện theo quy định nào?
99592,96172,0.9262472987174988,0.5767373442649841,0,0,0,1,1.0,Quyền hạn của Hội Sinh vật cảnh Việt Nam được quy định như thế nào?,Nguyên tắc tổ chức và hoạt động của Hội Sinh vật cảnh Việt Nam là gì?
130302,12470,0.9257380962371826,0.65696781873703,0,0,0,1,1.0,Hội Kế toán địa chất Việt Nam có tư cách pháp nhân không?,Quyền hạn của Hội Kế toán địa chất Việt Nam là gì?
116370,149650,0.92503821849823,0.7242847084999084,0,0,0,1,1.0,Giáo viên trường trung học cơ sở dạy bao nhiêu tiết trong một tuần?,Giáo viên trung học phổ thông có số tiết dạy trong một tuần là bao nhiêu?
123452,28164,0.924741268157959,0.6290405988693237,0,0,0,0,0.0,Có những loại hợp đồng xây dựng nào?,Có bao nhiêu loại hợp đồng xây dựng theo quy định hiện nay?
56032,50704,0.9239601492881775,0.8362413048744202,0,0,0,1,1.0,Bên mua bảo hiểm nhân thọ có quyền yêu cầu bồi thường theo hợp đồng bảo hiểm trong thời hạn bao lâu?,Bên mua bảo hiểm nhân thọ có quyền yêu cầu doanh nghiệp bồi thường theo hợp đồng bảo hiểm khi nào?
131184,112376,0.9237663149833679,0.6952163577079773,0,0,0,1,1.0,Ký kết thỏa thuận quốc tế là gì?,Ký kết thỏa thuận quốc tế dựa trên những nguyên tắc nào?
98666,78302,0.9227749109268188,0.8260533213615417,0,0,0,1,1.0,Khi phẫu thuật vạt điều trị viêm quanh implant cần theo dõi và xử lý biến chứng như thế nào?,Tiến hành phẫu thuật vạt điều trị viêm quanh implant theo các bước như thế nào?
42520,3744,0.9227011203765869,0.7584633827209473,0,0,0,1,1.0,Hậu quả pháp lý của việc đơn phương chấm dứt hợp đồng lao động trái pháp luật.,Người lao động đơn phương chấm dứt hợp đồng lao động trái pháp luật có nghĩa vụ gì?
12108,98364,0.9225034117698669,0.7476317286491394,0,0,0,1,1.0,Doanh nghiệp kinh doanh dịch vụ du lịch lữ hành giao kết hợp đồng với khách du lịch nhưng không có điều khoản về bảo hiểm cho khách thì bị phạt bao nhiêu?,Không mua bảo hiểm cho khách du lịch thì doanh nghiệp kinh doanh dịch vụ lữ hành bị phạt bao nhiêu tiền?
2078,42216,0.9220900535583496,0.8241943717002869,0,0,0,1,1.0,Diện tích đất tối thiểu được phép tách thửa đối với đất nông nghiệp tách thửa để chuyển mục đích sang đất phi nông nghiệp không phải là đất ở tại địa bàn tỉnh Sơn La?,Diện tích đất tối thiểu để được tách thửa đất đối với đất nông nghiệp ngoài khu dân cư tại địa bàn tỉnh Sơn La?
70988,82694,0.9207934737205505,0.763859212398529,0,0,0,0,0.0,Các phương thức đóng bảo hiểm xã hội tự nguyện được quy định thế nào?,Phương thức đóng bảo hiểm xã hội mà đối với đối tượng tham gia bảo hiểm xã hội tự nguyện như thế nào?
60390,46380,0.9207749962806702,0.6573466062545776,0,0,0,0,0.0,Đổi từ biển số xe máy 4 số sang 5 số thì tốn bao nhiêu tiền?,Thủ tục đổi từ biển số xe máy 4 số sang 5 số được thực hiện như thế nào?
60438,22860,0.9205435514450073,0.8037203550338745,0,0,0,1,1.0,Người phát ngôn của BHXH Việt Nam có trách nhiệm gì khi phát ngôn và cung cấp thông tin cho báo chí trong các trường hợp đột xuất?,Phát ngôn và cung cấp thông tin cho báo chí của BHXH Việt Nam trong trường hợp đột xuất theo hình thức nào?
128810,120030,0.9199852347373962,0.7595157623291016,0,0,0,0,0.0,Cán bộ sau luân chuyển được bố trí trở lại chức vụ đã đảm nhiệm trước khi luân chuyển trong trường hợp nào?,Cán bộ sau khi luân chuyển có thể bị bố trí chức vụ thấp hơn chức danh luân chuyển trong trường hợp nào?
93868,110848,0.9197066426277161,0.7070042490959167,0,0,0,1,1.0,Hiệu lệnh dừng phương tiện giao thông của Cảnh sát giao thông gồm có những hiệu lệnh nào?,Khi Cảnh sát giao thông yêu cầu dừng xe thì hiệu lệnh dừng xe được thực hiện như thế nào?
99344,142130,0.9193928837776184,0.5295512080192566,0,0,0,1,1.0,Chánh Thanh tra Cục Hàng không Việt Nam do ai bổ nhiệm?,Cơ cấu tổ chức của Thanh tra Cục Hàng không Việt Nam được quy định thế nào?
16580,115334,0.9190083742141724,0.7547630071640015,0,0,0,1,1.0,Cơ quan nào có quyền quyết định điều chỉnh chủ trương đầu tư dự án PPP khi thay đổi địa điểm của dự án?,Chủ trương đầu tư dự án PPP thuộc phạm vi quản lý của địa phương có được điều chỉnh khi thay đổi địa điểm của dự án không?
54598,15922,0.918444037437439,0.37308478355407715,0,0,0,1,1.0,Để mở cảng cá cần đáp ứng những điều kiện gì?,Ai có thẩm quyền công bố mở cảng cá?
61392,125012,0.9183386564254761,0.8845060467720032,0,0,0,1,1.0,"Cơ quan nào có trách nhiệm thu phí tuyển dụng, dự thi nâng ngạch, thăng hạng công chức, viên chức?","Ai phải nộp phí tuyển dụng, dự thi nâng ngạch, thăng hạng công chức, viên chức?"
31460,114196,0.9182802438735962,0.8061065077781677,0,0,0,1,1.0,Những lưu ý khi đăng ký nguyện vọng đại học 2023,Đăng ký nguyện vọng đại học 2023 và những điều cần biết
13844,51766,0.9182265996932983,0.7061101794242859,0,0,0,1,1.0,Mang thai hộ vì mục đích nhân đạo được quy định như thế nào?,Mang thai vì mục đích nhân đạo cần đáp ứng những điều kiện gì? Được mang thai hộ tối đa bao nhiêu lần?
62632,158596,0.9175729751586914,0.6268446445465088,0,0,0,1,1.0,Doanh nghiệp giải thể khi nào?,Điều kiện để giải thể doanh nghiệp?
54008,134980,0.917371928691864,0.7305852174758911,0,0,0,1,1.0,Đối tượng được đổi giấy phép lái xe quy định như thế nào?,Trình tự đổi giấy phép lái xe được quy định cụ thể như thế nào?
28956,45648,0.9171035885810852,0.7108770608901978,0,0,0,0,0.0,Các trường hợp tạm hoãn thực hiện nghĩa vụ quân sự?,Ai có thẩm quyền quyết định tạm hoãn nghĩa vụ quân sự?
61340,8806,0.9169436693191528,0.7983649373054504,0,0,0,0,0.0,Đối tượng nào phải nộp thuế thu nhập cá nhân?,Đối tượng nào áp dụng tính thuế thu nhập cá nhân?
90690,146752,0.9168956279754639,0.79676753282547,0,0,0,1,1.0,Có được giữ quốc tịch nước ngoài khi trở lại quốc tịch Việt Nam không?,Người đang có quốc tịch nước ngoài được trở lại quốc tịch Việt Nam có bắt buộc phải thôi quốc tịch nước ngoài hay không?
79406,100126,0.9167088270187378,0.7158077359199524,0,0,0,1,1.0,Tiêu chuẩn tuyển quân đi thực hiện nghĩa vụ quân sự theo quy định pháp luật,Tiêu chuẩn tuyển quân đối với công dân tham gia nghĩa vụ quân sự
13418,135080,0.9164988398551941,0.9599400162696838,0,0,0,1,0.5,Thời hiệu xử lý kỷ luật đảng viên được quy định như thế nào?,Thời hiệu xử lý kỷ luật Đảng được quy định như thế nào?
30844,121732,0.9164075255393982,0.8478342890739441,0,0,0,1,1.0,Việc phân chia di sản thừa kế theo pháp luật được thực hiện như thế nào?,Người phân chia di sản thừa kế theo pháp luật quy định thế nào?
103892,122588,0.9155998826026917,0.7823578119277954,0,0,0,0,0.0,Điều kiện được cấp chứng chỉ hành nghề hoạt động xây dựng như thế nào?,Trình tự cấp chứng chỉ hành nghề hoạt động xây dựng
51858,93220,0.9151798486709595,0.8626880049705505,0,0,0,1,1.0,Có được sử dụng rượu bia có độ cồn từ 15 độ trở lên để khuyến mại hay không?,Tổ chức kinh doanh rượu bia có độ cồn từ 15 độ trở lên thì có được thực hiện việc khuyến mại hay không?
156932,23638,0.914760947227478,0.6491327285766602,0,0,0,1,1.0,Hoạt động kiểm toán nội bộ trong hệ thống Bảo hiểm xã hội Việt Nam phải đảm bảo các nguyên tắc cơ bản nào?,Hành vi nào bị nghiêm cấm trong hoạt động kiểm toán nội bộ trong hệ thống Bảo hiểm xã hội Việt Nam?
65158,148528,0.9147146940231323,0.7398823499679565,0,0,0,1,1.0,Quyền thành lập hộ kinh doanh và nghĩa vụ đăng ký hộ kinh doanh quy định như thế nào?,Việc đăng ký hộ kinh doanh được quy định như thế nào?
156640,148528,0.9146800637245178,0.7398823499679565,0,0,0,1,1.0,Quyền thành lập hộ kinh doanh và nghĩa vụ đăng ký hộ kinh doanh quy định như thế nào?,Việc đăng ký hộ kinh doanh được quy định như thế nào?
91878,137680,0.9144442677497864,0.7518911361694336,0,0,0,1,1.0,Điều kiện hưởng chế độ ốm đau theo quy định pháp luật,Thời gian hưởng chế độ ốm đau được pháp luật quy định như thế nào?
13844,149286,0.9140716791152954,0.7557468414306641,0,0,0,1,1.0,Mang thai hộ vì mục đích nhân đạo được quy định như thế nào?,Để được mang thai hộ vì mục đích nhân đạo cần đáp những điều kiện gì theo quy định?
16400,125780,0.9139689803123474,0.7484066486358643,0,0,0,1,1.0,Đối tượng nào được hưởng chế độ thai sản khi tránh thai?,Mức hưởng chế độ thai sản khi tránh thai quy định như thế nào?
16022,28118,0.9131863713264465,0.8675289154052734,0,0,0,1,1.0,Đăng ký tài khoản định danh cho người nước ngoài như thế nào?,Đăng ký tài khoản định danh mức độ 2 đối với người nước ngoài như thế nào?
4826,642,0.9125652313232422,0.5955369472503662,0,0,0,1,1.0,Sau khi tốt nghiệp ngành chế biến và bảo quản thủy sản trình độ trung cấp thì người học phải có tối thiểu những kiến thức nào?,"Người học ngành chế biến và bảo quản thủy sản trình độ trung cấp phải có khả năng học tập, nâng cao trình độ như thế nào?"
32080,58748,0.9119754433631897,0.8288715481758118,0,0,0,0,0.0,Hành vi xâm phạm quyền sở hữu trí tuệ bị xử lý như thế nào?,Thẩm quyền xử lý hành vi xâm phạm quyền sở hữu trí tuệ được quy định ra sao?
166188,22830,0.9117687344551086,0.8022721409797668,0,0,0,0,0.0,Thủ tục thành lập văn phòng đại diện của liên hiệp hợp tác xã được thực hiện như thế nào?,Liên hiệp hợp tác xã có được lập văn phòng đại diện không?
160102,7244,0.9116160273551941,0.6906548142433167,0,0,0,0,0.0,Ai có thẩm quyền lập biên bản vi phạm hành chính?,Những trường hợp nào phải lập biên bản xử phạt vi phạm hành chính?
9476,122588,0.9109615683555603,0.6808319687843323,0,0,0,1,1.0,Điều kiện chung để được cấp chứng chỉ hành nghề hoạt động xây dựng được quy định như thế nào?,Trình tự cấp chứng chỉ hành nghề hoạt động xây dựng
42520,143104,0.9105471968650818,0.7844908833503723,0,0,0,1,1.0,Hậu quả pháp lý của việc đơn phương chấm dứt hợp đồng lao động trái pháp luật.,Thế nào là đơn phương chấm dứt hợp đồng lao động trái pháp luật?
135080,98520,0.9105207920074463,0.831886351108551,0,0,0,1,1.0,Thời hiệu xử lý kỷ luật Đảng được quy định như thế nào?,Thời hiệu xử lý kỷ luật đảng viên được quy định ra sao?
882,156140,0.9103823900222778,0.8243263959884644,0,0,0,1,1.0,Mẹ có đương nhiên được giao quyền trực tiếp nuôi con dưới 36 tháng tuổi không?,Con dưới 36 tháng tuổi thì người mẹ đương nhiên có quyền nuôi con đúng không?
68580,4250,0.9099734425544739,0.7168934941291809,0,0,0,1,1.0,Tình tiết giảm nhẹ trách nhiệm hình sự có phải là một trong những căn cứ để quyết định hình phạt hay không?,Các tình tiết giảm nhẹ trách nhiệm hình sự là những tình tiết nào?
50188,35214,0.9097092747688293,0.5886253118515015,0,0,0,1,1.0,Thẩm quyền và trình tự cấp chứng chỉ hành nghề hoạt động xây dựng cho cá nhân được quy định như thế nào?,Đối tượng nào được cấp chứng chỉ hành nghề hoạt động xây dựng?
38582,115568,0.9096806049346924,0.6471331715583801,0,0,0,1,1.0,Ban Quản lý các dự án khí tượng thủy văn có cơ cấu tổ chức như thế nào?,Ban Quản lý các dự án khí tượng thủy văn là đơn vị dự toán cấp mấy?
27510,137680,0.9091768860816956,0.565475583076477,0,0,0,1,1.0,Mức hưởng chế độ ốm đau là bao nhiêu?,Thời gian hưởng chế độ ốm đau được pháp luật quy định như thế nào?
4292,55900,0.908838152885437,0.5142239332199097,0,0,0,1,1.0,Đầu tư kinh doanh là gì? Điều kiện đầu tư kinh doanh được định nghĩa thế nào?,Khái niệm đầu tư kinh doanh
127518,42294,0.908633291721344,0.6682771444320679,0,0,0,1,0.5,Hệ số lương đối với công chức chuyên ngành Ngân hàng được quy định như thế nào?,Tiền lương của công chức chuyên ngành Ngân hàng là bao nhiêu?
4532,147658,0.9083074331283569,0.43403977155685425,0,0,0,0,0.0,Việc đóng kinh phí công đoàn thuộc về trách nhiệm của ai?,Những đối tượng nào phải đóng kinh phí công đoàn?
143168,163714,0.9080145955085754,0.6387861967086792,0,0,0,1,1.0,Trách nhiệm của giáo viên khi dạy thêm là gì?,Giáo viên không được dạy thêm trong trường hợp nào?
46108,151720,0.9066000580787659,0.5672067999839783,0,0,0,1,1.0,Không hành nghề dược trong thời gian bao lâu thì bị thu hồi chứng chỉ hành nghề dược?,Các trường hợp bị thu hồi Chứng chỉ hành nghề dược là những trường hợp nào?
50188,122588,0.9063701629638672,0.7818249464035034,0,0,0,1,1.0,Thẩm quyền và trình tự cấp chứng chỉ hành nghề hoạt động xây dựng cho cá nhân được quy định như thế nào?,Trình tự cấp chứng chỉ hành nghề hoạt động xây dựng
29656,72456,0.9061600565910339,0.8561146259307861,0,0,0,1,1.0,Thời gian được coi là thời gian làm việc để tính số ngày nghỉ hằng năm của người lao động được quy định như thế nào?,Thời gian làm việc để tính ngày nghỉ hằng năm được quy định như thế nào?
92530,38414,0.9061419367790222,0.7898728251457214,0,0,0,1,1.0,"Tủ sách pháp luật tại cơ quan, đơn vị của lực lượng vũ trang nhân dân được phục vụ bằng hình thức nào?","Tủ sách pháp luật tại cơ quan, đơn vị của lực lượng vũ trang nhân dân được đặt tại đâu?"
28894,153812,0.9061181545257568,0.7266627550125122,0,0,0,1,1.0,"Nguồn vốn cho vay và thời hạn giải ngân nguồn vốn cho vay để học sinh có thể vay vốn mua máy tính, thiết bị phục vụ học tập trực tuyến","Phương thức Nhà nước cho vay vốn để học sinh, sinh viên có thể mua máy tính, thiết bị phục vụ học tập trực tuyến"
149286,51766,0.9057368040084839,0.7499289512634277,0,0,0,1,1.0,Để được mang thai hộ vì mục đích nhân đạo cần đáp những điều kiện gì theo quy định?,Mang thai vì mục đích nhân đạo cần đáp ứng những điều kiện gì? Được mang thai hộ tối đa bao nhiêu lần?
150218,81744,0.9055070877075195,0.7980577945709229,0,0,0,0,0.0,Mức phạt đối với hành vi điều khiển xe máy vận chuyển hàng hóa cồng kềnh như thế nào?,Quy định nào cấm người điều khiển xe máy không được vận chuyển hàng hóa cồng kềnh?
135566,130900,0.905384361743927,0.77866530418396,0,0,0,0,0.0,Nội dung kiểm tra chất lượng thức ăn chăn nuôi nhập khẩu bao gồm những nội dung nào?,Nội dung kiểm tra nhà nước về chất lượng thức ăn chăn nuôi nhập khẩu sau thông quan?
131694,33938,0.90521240234375,0.8777773976325989,0,0,0,1,1.0,Công ty có phải tổ chức khám phát hiện bệnh nghề nghiệp cho người lao động tại nơi làm việc hay không?,Có bắt buộc phải tổ chức khám phát hiện bệnh nghề nghiệp cho người lao động tại nơi làm việc không?
32286,155010,0.9049789309501648,0.6853246688842773,0,0,0,1,1.0,Giám đốc Sở Y tế có thẩm quyền thu hồi chứng chỉ hành nghề khám chữa bệnh trong trường hợp nào?,Thủ tục thu hồi chứng chỉ hành nghề khám chữa bệnh được quy định thế nào?
119070,19394,0.9047918915748596,0.5013794898986816,0,0,0,1,1.0,Những trường hợp nào được nhận bảo hiểm xã hội một lần?,Mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?
156654,119070,0.9047918915748596,0.5013794898986816,0,0,0,0,0.0,Mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?,Những trường hợp nào được nhận bảo hiểm xã hội một lần?
12014,167754,0.9042223691940308,0.7410812973976135,0,0,0,1,1.0,Nghĩa vụ của người quản lý di sản thừa kế như thế nào?,Người quản lý di sản thừa kế là ai?
378,155412,0.9041379690170288,0.4216538071632385,0,0,0,1,1.0,Một hợp đồng lao động thì cần phải có các nội dung nào trong hợp đồng?,Quy định của pháp luật về hợp đồng lao động
7758,113954,0.9040905833244324,0.8051570653915405,0,0,0,1,0.5,"Trường hợp nào Đảng viên có lời nói, hành động đe dọa đến tính mạng người tố cáo thì bị khai trừ khỏi Đảng?","Đảng viên có lời nói, hành động đe dọa đến tính mạng người tố cáo sẽ bị xử lý như thế nào?"
72246,70924,0.9040098190307617,0.7542062997817993,0,0,0,0,0.0,Trong thời gian mang tài liệu bí mật Nhà nước ra khỏi nơi lưu giữ nếu phát hiện bí mật Nhà nước bị lộ thì người mang tài liệu có trách nhiệm gì?,Tài liệu bí mật Nhà nước mang ra khỏi nơi lưu giữ phải đảm bảo điều kiện gì?
122588,35214,0.9039925336837769,0.713010847568512,0,0,0,1,1.0,Trình tự cấp chứng chỉ hành nghề hoạt động xây dựng,Đối tượng nào được cấp chứng chỉ hành nghề hoạt động xây dựng?
694,378,0.9032459259033203,0.5529994964599609,0,0,0,1,1.0,Hợp đồng lao động là gì?,Một hợp đồng lao động thì cần phải có các nội dung nào trong hợp đồng?
46688,81912,0.903181254863739,0.6597448587417603,0,0,0,1,0.5,Quyền và nghĩa vụ của người tập sự hành nghề Thừa phát lại theo quy định mới nhất hiện nay bao gồm những gì?,Thời gian tập sự hành nghề Thừa phát lại theo quy định hiện nay là bao lâu?
19382,130322,0.9026601910591125,0.791978657245636,0,0,0,0,0.0,Xưởng may có 1200 công nhân thì phải lập đội phòng cháy chữa cháy như thế nào?,Xưởng may mặc có phải lập đội phòng cháy chữa cháy hay không?
56546,109538,0.9025301933288574,0.611397385597229,0,0,0,1,1.0,"Nguyên tắc lấy phiếu tín nhiệm, bỏ phiếu tín nhiệm được quy định như thế nào?",Quy trình lấy phiếu tín nhiệm tại Hội đồng nhân dân được thực hiện như thế nào?
66664,158958,0.9023105502128601,0.42434656620025635,0,0,0,1,1.0,Nội dung lấy ý kiến dự thảo Luật Đất đai tương ứng với từng nhóm đối tượng là gì?,Mục đích và yêu cầu của việc tổ chức lấy ý kiến về dự thảo Luật Đất đai (sửa đổi) là gì?
131184,23622,0.9021825194358826,0.9195254445075989,0,0,0,1,1.0,Ký kết thỏa thuận quốc tế là gì?,Thỏa thuận quốc tế là gì?
155580,82798,0.9019901752471924,0.716025710105896,0,0,0,1,1.0,Thanh tra viên cao cấp Công an nhân dân cần đáp ứng đủ các tiêu chuẩn gì về năng lực?,Thanh tra viên chính Công an nhân dân cần đáp ứng đủ các tiêu chuẩn về trình độ thế nào?
71020,24178,0.9016246199607849,0.5502451062202454,0,0,0,1,1.0,Ai sẽ tổ chức thực hiện chương trình giám sát của Hội đồng nhân dân?,Hội đồng nhân dân quyết định chương trình giám sát hằng năm theo trình tự ra sao?
103892,50188,0.9013477563858032,0.7042254209518433,0,0,0,0,0.0,Điều kiện được cấp chứng chỉ hành nghề hoạt động xây dựng như thế nào?,Thẩm quyền và trình tự cấp chứng chỉ hành nghề hoạt động xây dựng cho cá nhân được quy định như thế nào?
142042,132236,0.9001666903495789,0.7589234113693237,0,0,0,1,1.0,Phòng Chế độ và Tiền lương thuộc Vụ Tổ chức cán bộ Bảo hiểm xã hội Việt Nam thực hiện chức năng gì?,Trưởng phòng Chế độ và Tiền lương thuộc Vụ tổ chức cán bộ Bảo hiểm xã hội Việt Nam do ai bổ nhiệm?
77280,1306,0.900073230266571,0.4751737415790558,0,0,0,1,1.0,Nguyên tắc tổ chức và hoạt động của Cảng vụ hàng hải,Tư cách pháp lý của Cảng vụ hàng hải quy định thế nào?
